DAQLog Data File v1.10
Device: LGR-5327
Serial No: 000001582675
Log Enable Time: 12.06.2025 13:46:14.000
Data Start Time: 12.06.2025 13:46:15.532
Trigger Time: 12.06.2025 13:46:15.782
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 06.12.2025 Kantipark St. Gallen
8 feste Geophon-Positionen + 1 Trigger
Abstand wird während der Messung festgelegt
, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, , , , , , , , 
0, "13:46:15.531999", -0.17791, -0.26535, -0.02363, 0.02665, 0.00746, 0.02314, 0.00618, 0.01599
1, "13:46:15.532249", -0.17296, -0.27227, -0.02462, 0.02863, 0.00548, 0.02610, 0.00816, 0.01797
2, "13:46:15.532499", -0.17395, -0.26832, -0.02264, 0.02764, 0.00845, 0.02512, 0.00816, 0.01599
3, "13:46:15.532749", -0.16605, -0.27227, -0.02363, 0.02962, 0.00845, 0.02413, 0.01014, 0.01599
4, "13:46:15.532999", -0.18384, -0.27722, -0.02462, 0.02962, 0.00943, 0.02413, 0.00915, 0.01599
5, "13:46:15.533248", -0.18186, -0.27722, -0.02560, 0.02665, 0.00845, 0.02610, 0.00915, 0.01599
6, "13:46:15.533500", -0.18482, -0.28513, -0.02363, 0.02665, 0.00647, 0.02314, 0.00915, 0.01599
7, "13:46:15.533750", -0.19273, -0.28513, -0.02264, 0.03258, 0.01042, 0.02610, 0.00915, 0.01698
8, "13:46:15.533998", -0.18779, -0.28018, -0.02462, 0.03159, 0.00943, 0.02709, 0.01112, 0.01599
9, "13:46:15.534248", -0.18384, -0.29601, -0.02264, 0.02962, 0.01042, 0.02709, 0.01014, 0.01599
10, "13:46:15.534498", -0.19174, -0.29601, -0.02165, 0.03456, 0.01141, 0.02808, 0.01112, 0.01698
11, "13:46:15.534749", -0.20755, -0.28612, -0.02066, 0.03159, 0.01141, 0.02907, 0.01211, 0.01500
12, "13:46:15.534999", -0.20162, -0.29699, -0.02165, 0.03357, 0.01141, 0.02907, 0.01014, 0.01599
13, "13:46:15.535249", -0.20162, -0.29106, -0.02066, 0.03456, 0.01141, 0.03006, 0.01409, 0.01599
14, "13:46:15.535499", -0.20657, -0.30194, -0.02264, 0.03258, 0.01042, 0.03401, 0.00915, 0.01599
15, "13:46:15.535749", -0.22040, -0.30095, -0.02165, 0.03456, 0.01141, 0.02907, 0.01211, 0.01599
16, "13:46:15.535999", -0.21744, -0.30095, -0.02264, 0.03456, 0.01141, 0.03303, 0.01211, 0.01599
17, "13:46:15.536249", -0.21842, -0.30787, -0.02264, 0.03357, 0.01042, 0.02709, 0.01409, 0.01599
18, "13:46:15.536499", -0.22139, -0.29699, -0.02264, 0.03357, 0.01141, 0.03204, 0.01310, 0.01599
19, "13:46:15.536748", -0.22337, -0.30886, -0.01967, 0.03654, 0.01339, 0.03105, 0.01409, 0.01599
20, "13:46:15.536998", -0.23523, -0.29996, -0.02066, 0.03357, 0.01141, 0.03204, 0.01409, 0.01599
21, "13:46:15.537248", -0.22435, -0.31776, -0.01967, 0.03555, 0.01240, 0.03303, 0.01211, 0.01599
22, "13:46:15.537500", -0.22831, -0.31183, -0.01967, 0.03851, 0.01438, 0.03303, 0.01310, 0.01698
23, "13:46:15.537750", -0.23720, -0.30688, -0.01967, 0.03851, 0.01438, 0.03401, 0.01607, 0.01599
24, "13:46:15.538000", -0.23424, -0.30886, -0.02165, 0.03851, 0.01635, 0.03303, 0.01705, 0.01599
25, "13:46:15.538248", -0.22930, -0.30688, -0.01869, 0.03555, 0.01339, 0.03303, 0.01804, 0.01698
26, "13:46:15.538497", -0.24610, -0.31479, -0.02066, 0.03753, 0.01734, 0.03500, 0.01705, 0.01797
27, "13:46:15.538749", -0.23523, -0.31479, -0.01869, 0.03851, 0.02031, 0.03500, 0.01508, 0.01698
28, "13:46:15.538999", -0.23720, -0.30985, -0.01572, 0.03753, 0.01932, 0.03698, 0.01508, 0.01698
29, "13:46:15.539249", -0.23424, -0.31578, -0.01967, 0.03851, 0.01635, 0.03599, 0.01508, 0.01599
30, "13:46:15.539499", -0.23918, -0.31578, -0.01770, 0.03851, 0.01635, 0.03797, 0.01804, 0.01599
31, "13:46:15.539749", -0.23621, -0.31677, -0.01671, 0.03851, 0.02031, 0.03698, 0.01804, 0.01698
32, "13:46:15.539999", -0.23424, -0.31875, -0.01671, 0.03950, 0.01734, 0.03698, 0.01705, 0.01698
33, "13:46:15.540248", -0.24116, -0.32171, -0.01572, 0.03950, 0.01932, 0.04094, 0.01903, 0.01599
34, "13:46:15.540498", -0.24116, -0.31875, -0.01375, 0.03950, 0.02031, 0.03599, 0.01903, 0.01698
