DAQLog Data File v1.10
Device: LGR-5327
Serial No: 00000158266D
Log Enable Time: 10.24.2020 13:02:02.000
Data Start Time: 10.24.2020 13:02:02.065
Trigger Time: 10.24.2020 13:02:02.315
Pre-Trigger Scan Count: 1000
Pre-Trigger Scan Rate(Hz): 4000
Post-Trigger Scan Count: 3000
Post-Trigger Scan Rate(Hz): 4000
Notes: 8 Geophone + 1 Trigger- G-Sensor

Kanal 0 bis 7 differential +/-30V Bereich
Analog-Trigger auf Trigger IN above 3 V  (2.5V Offset  Beschleunigungssensor + 0.5V Beschleunigung ) (0.4V / g)
 (Pretrigger 0.25sek  4kHz Messrate
Posttrigger mit 4kHz Messrate 0.75sek 
Daten aufzeichnen (total 1 sek)

14.01.2015 V1.0 Ch.Bircher 


, , AI0Diff30V(Volts), AI1Diff30V(Volts), AI2Diff30V(Volts), AI3Diff30V(Volts), AI4Diff30V(Volts), AI5Diff30V(Volts), AI6Diff30V(Volts), AI7Diff30V(Volts)
Scan Number, Scan Time, AI0, AI1, AI2, AI3, AI4, AI5, AI6, AI7
0, "13:02:02.064998", 0.02502, 0.00324, 0.00509, 1.67105, 1.31873, 2.35754, 0.14564, 1.09265
1, "13:02:02.065248", 0.02404, 0.00324, 0.00608, 1.65526, 1.29009, 2.33679, 0.15157, 1.11735
2, "13:02:02.065500", 0.02404, 0.00324, 0.01003, 1.65822, 1.28515, 2.33284, 0.16244, 1.11142
3, "13:02:02.065750", 0.02404, 0.00423, 0.00509, 1.65328, 1.28712, 2.31900, 0.16442, 1.14206
4, "13:02:02.065999", 0.02502, 0.00423, 0.01003, 1.66414, 1.30490, 2.36050, 0.17331, 1.12427
5, "13:02:02.066249", 0.02502, 0.00324, 0.00608, 1.67599, 1.35428, 2.40793, 0.17331, 1.09561
6, "13:02:02.066497", 0.02502, 0.00620, 0.01101, 1.67895, 1.38391, 2.44252, 0.17627, 1.04522
7, "13:02:02.066749", 0.02404, 0.00522, 0.01003, 1.69475, 1.43427, 2.50378, 0.18714, 0.98297
8, "13:02:02.066999", 0.02601, 0.00423, 0.00904, 1.71746, 1.45797, 2.54627, 0.19307, 0.94245
9, "13:02:02.067249", 0.02502, 0.00522, 0.00805, 1.73622, 1.55377, 2.62532, 0.19505, 0.87921
